vendor_id,session_id,relationship,relationship_detail
V03,1492,familiar,familiar-generic
V03,1603,stranger,stranger
V03,1486,stranger,stranger
V03,1544,stranger,stranger
V03,1545,familiar,dating/spouse/romantic_partner
V03,1598,familiar,friends
V03,1443,familiar,friends
V03,1487,stranger,stranger
V03,1575,familiar,coworkers
V03,1442,familiar,friends
V03,1606,familiar,friends
V03,1547,familiar,friends
V03,1491,stranger,stranger
V03,1482,stranger,stranger
V03,1488,stranger,stranger
V03,1478,stranger,stranger
V03,1485,stranger,stranger
V03,1480,stranger,stranger
V03,1490,stranger,stranger
V03,1483,stranger,stranger
V03,1730,stranger,stranger
V03,1479,stranger,stranger
V03,1729,familiar,friends
V03,1725,stranger,stranger
V03,1724,familiar,friends
V03,1707,stranger,stranger
V03,1727,stranger,stranger
V03,1715,familiar,friends
V03,1718,familiar,friends
V03,1728,familiar,friends
V03,1716,familiar,friends
V03,1710,stranger,stranger
V03,1723,stranger,stranger
V03,1721,familiar,friends
V03,1664,familiar,friends
V03,1717,familiar,friends
V03,1722,familiar,friends
V03,1268,familiar,coworkers
V03,1720,familiar,friends
V03,1657,stranger,stranger
V03,1452,familiar,coworkers
V03,1726,stranger,stranger
V03,1457,familiar,coworkers
V03,1458,familiar,coworkers
V03,1665,stranger,stranger
V03,1628,familiar,family-generic
V03,1631,familiar,coworkers
V03,1661,familiar,friends
V03,1719,familiar,friends
V03,1709,stranger,stranger
V03,1708,familiar,coworkers
V03,1630,familiar,friends
V03,1658,familiar,familiar-generic
V03,1529,familiar,familiar-generic
V03,1633,stranger,stranger
V03,1456,stranger,stranger
V03,1632,familiar,coworkers
V03,1627,stranger,stranger
V03,1660,familiar,friends
V03,1629,familiar,friends
V03,0086,stranger,stranger
V03,1663,familiar,friends
V03,0139,stranger,stranger
V03,0088,stranger,stranger
V03,0089,stranger,stranger
V03,1659,familiar,friends
V03,1662,stranger,stranger
V03,0138,stranger,stranger
V03,0085,stranger,stranger
V03,0087,stranger,stranger
V03,0137,stranger,stranger
V03,0121,stranger,stranger
V03,0122,familiar,familiar-generic
V03,0134,stranger,stranger
V03,0124,familiar,familiar-generic
V03,0125,stranger,stranger
V03,0120,stranger,stranger
V03,0136,familiar,dating/spouse/romantic_partner
V03,0128,familiar,familiar-generic
V03,0119,stranger,stranger
V03,0131,familiar,dating/spouse/romantic_partner
V03,0118,familiar,familiar-generic
V03,0135,stranger,stranger
V03,0363,stranger,stranger
V03,0132,stranger,stranger
V03,0123,stranger,stranger
V03,0127,stranger,stranger
V03,0129,stranger,stranger
V03,0505,stranger,stranger
V03,0460,stranger,stranger
V03,0133,stranger,stranger
V03,0130,stranger,stranger
V03,0464,familiar,familiar-generic
V03,0372,stranger,stranger
V03,0364,stranger,stranger
V03,0365,stranger,stranger
V03,0373,stranger,stranger
V03,0374,familiar,familiar-generic
V03,0463,stranger,stranger
V03,0462,stranger,stranger
V03,0730,stranger,stranger
V03,0470,stranger,stranger
V03,0465,stranger,stranger
V03,0469,stranger,stranger
V03,0468,stranger,stranger
V03,0467,stranger,stranger
V03,0245,stranger,stranger
V03,0218,familiar,familiar-generic
V03,1410,stranger,stranger
V03,1411,stranger,stranger
V03,1406,stranger,stranger
V03,1401,stranger,stranger
V03,1403,stranger,stranger
V03,1400,stranger,stranger
V03,1391,familiar,familiar-generic
V03,1359,stranger,stranger
V03,1361,stranger,stranger
V03,1345,stranger,stranger
V03,1341,stranger,stranger
V03,1344,stranger,stranger
V03,1358,stranger,stranger
V03,1340,stranger,stranger
V03,1342,stranger,stranger
V03,1343,familiar,familiar-generic
V03,1356,stranger,stranger
V03,1409,familiar,familiar-generic
V03,1222,stranger,stranger
V03,1339,stranger,stranger
V03,1223,stranger,stranger
V03,1208,familiar,familiar-generic
V03,1338,stranger,stranger
V03,1405,stranger,stranger
V03,1169,stranger,stranger
V03,1207,stranger,stranger
V03,1206,stranger,stranger
V03,1205,stranger,stranger
V03,1423,familiar,familiar-generic
V03,1068,familiar,familiar-generic
V03,1364,familiar,coworkers
V03,0916,stranger,stranger
V03,1399,stranger,stranger
V03,1166,stranger,stranger
V03,0918,stranger,stranger
V03,1180,stranger,stranger
V03,1357,stranger,stranger
V03,1402,stranger,stranger
V03,1168,stranger,stranger
V03,1404,stranger,stranger
V03,1387,familiar,familiar-generic
V03,1360,familiar,coworkers
V03,1419,stranger,stranger
V03,1362,stranger,stranger
V03,1389,familiar,familiar-generic
V03,1384,stranger,stranger
V03,1388,familiar,familiar-generic
V03,1204,familiar,coworkers
V03,1108,stranger,stranger
V03,1421,stranger,stranger
V03,1120,stranger,stranger
V03,1363,stranger,stranger
V03,1347,stranger,stranger
V03,1355,stranger,stranger
V03,1351,stranger,stranger
V03,1348,stranger,stranger
V03,1289,stranger,stranger
V03,1263,stranger,stranger
V03,1288,stranger,stranger
V03,1041,stranger,stranger
V03,1350,stranger,stranger
V03,1107,stranger,stranger
V03,1258,stranger,stranger
V03,1105,stranger,stranger
V03,1422,stranger,stranger
V03,1386,familiar,familiar-generic
V03,1367,stranger,stranger
V03,1352,stranger,stranger
V03,1365,stranger,stranger
V03,1372,familiar,familiar-generic
V03,1371,familiar,familiar-generic
V03,1378,stranger,stranger
V03,1373,familiar,familiar-generic
V03,1379,familiar,familiar-generic
V03,1369,stranger,stranger
V03,1212,stranger,stranger
V03,1284,stranger,stranger
V03,1286,stranger,stranger
V03,1353,familiar,familiar-generic
V03,1283,stranger,stranger
V03,1413,familiar,familiar-generic
V03,1290,stranger,stranger
V03,1274,stranger,stranger
V03,0905,stranger,stranger
V03,1366,familiar,familiar-generic
V03,1415,stranger,stranger
V03,1417,familiar,familiar-generic
V03,1418,stranger,stranger
V03,1262,familiar,friends
V03,1291,stranger,stranger
V03,1081,stranger,stranger
V03,1385,familiar,familiar-generic
V03,1292,stranger,stranger
V03,1383,familiar,familiar-generic
V03,1293,stranger,stranger
V03,1054,stranger,stranger
V03,1374,familiar,familiar-generic
V03,1106,stranger,stranger
V03,1354,stranger,stranger
V03,1414,stranger,stranger
V03,1346,stranger,stranger
V03,1050,stranger,stranger
V03,1947,familiar,coworkers
V03,1349,stranger,stranger
V03,1945,familiar,friends
V03,1939,familiar,friends
V03,1376,familiar,familiar-generic
V03,0600,stranger,stranger
V03,1938,familiar,coworkers
V03,1943,familiar,coworkers
V03,1937,familiar,coworkers
V03,1493,familiar,familiar-generic
V03,1940,familiar,coworkers
V03,1944,familiar,friends
V03,1934,familiar,friends
V03,1845,stranger,stranger
V03,1933,familiar,friends
V03,0497,stranger,stranger
V03,1928,stranger,stranger
V03,1946,familiar,friends
V03,1942,familiar,friends
V03,0578,stranger,stranger
V03,1941,familiar,friends
V03,1935,familiar,friends
V03,1931,familiar,friends
V03,0558,stranger,stranger
V03,1932,familiar,friends
V03,0561,stranger,stranger
V03,1930,stranger,stranger
V03,0552,stranger,stranger
V03,0581,stranger,stranger
V03,0555,stranger,stranger
V03,1929,stranger,stranger
V03,0551,stranger,stranger
V03,0549,stranger,stranger
V03,0523,stranger,stranger
V03,1370,stranger,stranger
V03,0519,stranger,stranger
V03,0485,stranger,stranger
V03,0489,stranger,stranger
V03,0356,stranger,stranger
V03,0559,stranger,stranger
V03,0554,stranger,stranger
V03,0524,stranger,stranger
V03,0526,stranger,stranger
V03,0493,familiar,coworkers
V03,0550,familiar,familiar-generic
V03,0223,stranger,stranger
V03,0560,familiar,familiar-generic
V03,0343,stranger,stranger
V03,0292,stranger,stranger
V03,0466,stranger,stranger
V03,0295,stranger,stranger
V03,0580,stranger,stranger
V03,0548,stranger,stranger
V03,0495,stranger,stranger
V03,0322,stranger,stranger
V03,0375,stranger,stranger
V03,0521,familiar,familiar-generic
V03,0326,familiar,familiar-generic
V03,0371,stranger,stranger
V03,0494,stranger,stranger
V03,0553,stranger,stranger
V03,0339,stranger,stranger
V03,0520,stranger,stranger
V03,0340,stranger,stranger
V03,0514,stranger,stranger
V03,0370,stranger,stranger
V03,0556,stranger,stranger
V03,0503,stranger,stranger
V03,0517,stranger,stranger
V03,0545,stranger,stranger
V03,0518,stranger,stranger
V03,0515,stranger,stranger
V03,0528,stranger,stranger
V03,0557,stranger,stranger
V03,0530,familiar,familiar-generic
V03,0547,stranger,stranger
V03,0525,familiar,familiar-generic
V03,0544,stranger,stranger
V03,0488,stranger,stranger
V03,0529,stranger,stranger
V03,0483,stranger,stranger
V03,0480,stranger,stranger
V03,0479,stranger,stranger
V03,0482,stranger,stranger
V03,0546,stranger,stranger
V03,0481,stranger,stranger
V03,0522,stranger,stranger
V03,0516,stranger,stranger
V03,0475,stranger,stranger
V03,0476,stranger,stranger
V03,0289,stranger,stranger
V03,0477,stranger,stranger
V03,0474,familiar,familiar-generic
V03,0420,stranger,stranger
V03,0362,stranger,stranger
