,prompt_hash,prompt_id_unique,participant_a_prompt_text,participant_b_prompt_text,ipc_a,ipc_b,interaction_type
10,00000012,P0064_v3.4.fam_AMCN_XXXX,Think of a time when you didn't speak up in a situation where you felt strongly about something. Describe the situation to your partner and explain why you didn't express your opinion.,"Your partner will tell you about a time they didn't speak up. Ask them if they think things would have turned out differently if they had spoken up, and discuss the potential outcomes.",AMCN,,ipc_conversation
11,00000013,P0067_v3.4.fam_ANCM_XXXX,"Think about a time when you didn't consider someone else's feelings or needs, and it led to a conflict or misunderstanding. Describe the situation to your partner and explain what you think you could have done differently.",Your partner will tell you about a time when they felt you were inconsiderate. Listen to their perspective and discuss what you could have done to be more considerate.,ANCM,,ipc_conversation
12,00000014,P0003_v3.4.aac_ANCP_XXXX,"You're going to play a game with your partner. Together you will take turns weaving a fictional tale. It can be about whatever you like. 

The rule is that you have to build the story together, alternating every sentence or two.

For example, a story might look like the following:

You: Last week, I went camping...
Partner: ...around midnight, I heard a loud ban and it jolted me awake...
You: ...I grabbed my flashlight and cautiously unzipped the tent...

The story can be about whatever you want! The point is to try to make it as interesting and fun as you can, creating it collaboratively. Be as expressive as you can with your voice and in your gestures.

Whenever you're ready, begin with the four words, ""Last week...","""You're going to play a game with your partner. Together you will take turns weaving a fictional tale. It can be about whatever you like. 

The rule is that you have to build the story together, alternating every sentence or two.

For example, a story might look like the following:

You: Last week, I went camping...
Partner: ...around midnight, I heard a loud ban and it jolted me awake...
You: ...I grabbed my flashlight and cautiously unzipped the tent...

The story can be about whatever you want! The point is to try to make it as interesting and fun as you can, creating it collaboratively. Be as expressive as you can with your voice and in your gestures.

Your partner will begin with the words """"Last week...""",ANCP,,collaborative_storytelling
13,00000015,P0094_v3.5.fam_AMCN_XXXX,Your partner will tell you about a time they had to pivot. Discuss with them the challenges of adjusting plans and how they handled the transition.,"Describe a time when you had to change your plans or approach mid-stream because your initial strategy wasn't working. What led you to realize the need for a change, and how did you adapt?",AMCN,,ipc_conversation
14,00000016,P0086_v3.5.fam_AMCP_XXXX,Discuss a skill or expertise you have that you think could be helpful to your partner. Explain how you could share this knowledge or skill with them and how it might benefit them.,Your partner will tell you about a skill or expertise they have that they think could be helpful to you. Listen to their idea and discuss how you could work together to share knowledge and support each other.,AMCP,,ipc_conversation
15,00000017,P0092_v3.5.fam_APCN_XXXX,"Think about a time when you successfully achieved a difficult goal. Tell your partner about the goal, the challenges you faced, and what you did to overcome them.",Your partner will tell you about a time they achieved a challenging goal. Discuss with them what you think contributed to their success and how they can apply those skills to future goals.,APCN,,ipc_conversation
16,00000018,P0082_v3.5.fam_AMCP_XXXX,"Describe a time when you acted on impulse and did something spontaneous with your partner. What was the situation, and how did it turn out?",Your partner will tell you about a time they acted on impulse with you. Share your perspective on the event and discuss whether it was a positive experience.,AMCP,,ipc_conversation
17,00000019,P0080_v3.5.fam_APCP_XXXX,Your partner will tell you about a fun social event they attended. Ask them questions about the event and discuss what you both like to do in social situations.,"Think about a time when you attended a social event, such as a party or gathering, and had a particularly great time. Tell your partner about the event and what made it so enjoyable.",APCP,,ipc_conversation
18,00000020,P0085_v3.5.fam_APCM_XXXX,Your partner will introduce a complex topic that you've discussed before. Listen to their perspective and engage in a discussion to try to find common ground or a new understanding.,"Bring up a topic that you and your partner have discussed before, but never fully resolved. Explain your perspective on the issue and why you think it's tricky to navigate.",APCM,,ipc_conversation
19,00000021,P0090_v3.5.fam_ANCM_XXXX,Tell your partner about a time when you refused to help someone or didn't want to lend a hand. Explain why you felt that way and how you think your decision affected the other person.,Your partner will tell you about a time they felt like you weren't willing to help or cooperate. Discuss the situation with them and explore whether you think your decision was justified.,ANCM,,ipc_conversation
20,00000022,P0081_v3.5.fam_APCN_XXXX,Your partner will tell you about a decision they made that they're proud of. Ask them questions to understand their thought process and provide your own perspective on the decision.,"Discuss a decision you made that you're proud of, one where you had to weigh the pros and cons and stick to your guns. What was the decision, and what factors influenced it?",APCN,,ipc_conversation
21,00000023,P0091_v3.5.fam_AMCN_XXXX,"Your partner will share a time when they felt unmotivated about something they usually like doing. Listen to their story and share a similar experience if you have one, or offer a different perspective on what might have caused their lack of motivation.","Discuss a time when you felt a lack of enthusiasm or energy for an activity or hobby that you normally enjoy. What was going on that made you feel that way, and how did you eventually regain your motivation?",AMCN,,ipc_conversation
22,00000024,P0083_v3.5.fam_ANCP_XXXX,Your partner will share a tradition or ritual that involves hosting or welcoming others. Listen to their description and share your own experiences with similar events.,Discuss with your partner a tradition or ritual that you have in your family or social circle that involves hosting or welcoming others. Explain its significance and how it makes you feel.,ANCP,,ipc_conversation
23,00000025,P0017_v3.1.str_APCN_XXXX,"Tell your partner about a time when you set a challenging goal for yourself and successfully achieved it. What was the goal, and what skills or strategies did you use to reach it?",Your partner will share a success story about achieving a challenging goal. Discuss what you think contributed to their success and how you might apply those strategies to your own goals.,APCN,,ipc_conversation
24,00000026,P0023_v3.1.str_APCN_XXXX,"Describe a time when you had to maintain a consistent
routine or schedule for an extended period. How did you stay motivated and on track? What benefits did you experience as a result?","Your partner will tell you about a time they had to maintain a consistent
routine. Ask them about the challenges they faced and how they overcame them.",APCN,,ipc_conversation
25,00000027,P0022_v3.1.str_AMCP_XXXX,"Tell your partner about a person in your life who has a calming presence, someone who makes you feel at ease. What is it about this person that has this effect on you?",Your partner will describe someone who has a calming presence in their life. Ask them follow-up questions to understand what specifically makes this person gentle and soothing.,AMCP,,ipc_conversation
26,00000028,P0024_v3.1.str_AMCM_XXXX,"Share a personal experience where you chose to
distance yourself from others, either physically or emotionally. What motivated this decision, and do you think it was the right choice?","Your partner will discuss a time they distanced themselves from others.
Explore the reasons behind their decision and consider sharing a similar experience from your own life.",AMCM,,ipc_conversation
27,00000029,P0002_v3.1.aac_ANCP_XXXX-57,"You're going to play a game with your partner. This game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.","You're going to play a game with your partner. This game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.
Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while",ANCP,,grounded_gesture
28,00000030,P0021_v3.1.str_APCP_XXXX,"Share a story about a time when you met someone new and instantly clicked with them. What was it about the person that drew you in, and how did you build a connection with them? Try to convey your enthusiasm and interest in getting to know new people.",Your partner will tell you about a time they met someone new and clicked with them. Discuss what you think makes for a great first impression and how you can tell when someone is genuinely interested in getting to know you.,APCP,,ipc_conversation
29,00000031,P0029_v3.1.str_ANCM_XXXX,"Discuss a situation where you felt like someone was
being unhelpful or unresponsive to your needs. How did you try to resolve the issue and what did you learn from the experience?","Your partner will describe a frustrating interaction with someone who
wasn't being cooperative. Offer suggestions on how they could have handled the situation differently and share a similar experience where you found a resolution.",ANCM,,ipc_conversation
30,00000032,P0019_v3.1.str_ANCM_XXXX,Discuss a social or cultural norm that you think is insensitive or outdated. Explain why you think it's problematic and how you think it could be changed or improved.,"Your partner will share their thoughts on a social or cultural norm they think is insensitive. Listen to their perspective and share your own thoughts on the topic, considering multiple viewpoints.",ANCM,,ipc_conversation
31,00000033,P0002_v3.1.aac_ANCP_XXXX-15,"You're going to play a game with your partner. This
game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.","You're going to play a game with your partner. This game is going to test
your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.
Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while",ANCP,,grounded_gesture
32,00000034,P0016_v3.1.str_AMCM_XXXX,Tell your partner about a situation where you felt like you were being pulled into a conversation or activity that you didn't want to participate in. How did you politely extricate yourself or set boundaries?,Your partner will share a story about setting boundaries in a social situation. Share a time when you had to do something similar and discuss the challenges of asserting your needs.,AMCM,,ipc_conversation
33,00000035,P0027_v3.1.str_AMCN_XXXX,"Share a time when you felt intimidated by someone or something, and how you handled the situation. What would you do differently if faced with a similar situation in the future?",Your partner will tell you about a time they felt intimidated. Listen actively and try to understand their perspective. Ask questions to help them reflect on what they could have done differently.,AMCN,,ipc_conversation
34,00000036,P0030_v3.1.str_APCM_XXXX,"Describe a situation where you had to think creatively
to solve a problem or get out of a difficult spot. What did you do, and would you do it again?","Your partner will tell you about a time they had to think on their feet. Ask
them follow-up questions to understand their thought process and discuss whether their solution was effective.",APCM,,ipc_conversation
35,00000037,P0020_v3.1.str_ANCP_XXXX,"Describe a time when you went out of your way to help
someone in need, even if it was a small act of kindness. What motivated you to help, and how did it make you feel?","Your partner will share a story about a time they helped someone in
need. Listen to their story and discuss how small acts of kindness can have a big impact.",ANCP,,ipc_conversation
36,00000038,P0028_v3.1.str_ANCP_XXXX,"Describe a situation where you had to interact with someone who was difficult or challenging. How did you handle the situation, and what did you learn from it?","Your partner will tell you about a time they dealt with a difficult person. Listen actively and offer words of encouragement or support, acknowledging the challenges they faced.",ANCP,,ipc_conversation
37,00000039,P0018_v3.1.str_AMCP_XXXX,"Discuss a situation where you wished you had more resources or support to help someone in need. What would have made a difference, and how do you think you could have been more helpful?",Your partner will describe a situation where they wished they had more resources to help someone. Offer suggestions or ideas for how they might have been able to make a greater impact.,AMCP,,ipc_conversation
38,00000040,P0003_v3.1.aac_ANCP_XXXX,"You're going to play a game with your partner.
Together you will take turns weaving a fictional tale. It can be about whatever you like.
The rule is that you have to build the story together, alternating every sentence or two.
For example, a story might look like the following: You: Last week, I went camping...
Partner: ...around midnight, I heard a loud ban and it
jolted me awake...
You: ...I grabbed my flashlight and cautiously unzipped","You're going to play a game with your partner. Together you will take
turns weaving a fictional tale. It can be about whatever you like.
The rule is that you have to build the story together, alternating every sentence or two.
For example, a story might look like the following:
You: Last week, I went camping...
Partner: ...around midnight, I heard a loud ban and it jolted me awake... You: ...I grabbed my flashlight and cautiously unzipped the tent...
The story can be about whatever you want! The point is to try to make it",ANCP,,collaborative_storytelling
39,00000041,P0025_v3.1.str_AMCN_XXXX,"Discuss a task or project that you've been putting off for a while. What's holding you back from starting or completing it, and how do you plan to overcome your procrastination?","Your partner will talk about a task they've been putting off. Offer suggestions or advice on how they might get started, and share a strategy that has worked for you in a similar situation.",AMCN,,ipc_conversation
40,00000042,P0026_v3.1.str_APCP_XXXX,"Describe a public figure or celebrity who you find
particularly charismatic and compelling. What is it about them that draws you in and makes you want to listen to what they have to say?","Your partner will tell you about a public figure they find charismatic. Ask
them to elaborate on what specifically makes this person so compelling to them.",APCP,,ipc_conversation
41,00000043,P0031_v3.1.str_APCM_XXXX,"Discuss a time when someone tried to exert control over you or tell you what to do. How did you feel, and how did you respond? Would you handle the situation differently if it happened again?",Your partner will share a story about someone trying to control them. Listen to their perspective and offer your thoughts on how they could have maintained their autonomy.,APCM,,ipc_conversation
42,00000044,P0002_v3.5.aac_ANCP_XXXX-118,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The *wind* is blowing the leaves.
She is rowing the *boat* across the lake.
He is *sketching* a landscape.
She is *shopping* for groceries.
She is sniffing the *flowers*.
He is *content* with the outcome.
He is feeling *strong*.
They are *dancing* to the music.
He is chiseling a *sculpture*.
She is very *friendly*.","""You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
It is *raining* heavily outside.
The *train* is chugging along the tracks.
He is *shaking* the bottle.
The child is *sliding* down the slide.
He is savoring the *taste*.
She is *concentrating* hard.
He is completely *relaxed*.
They are *reminiscing* about old times.
He is known for being *honest*.
He is *ironing* his clothes.""",ANCP,,grounded_gesture
43,00000045,P0002_v3.5.aac_ANCP_XXXX-94,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The *dog* is barking loudly.
The *flower* is blooming in the garden.
She is *combing* her hair.
He is *washing* the dishes.
She is gently *touching* the fabric.
She is gracefully *dancing*.
They are *debating* the issue.
He is *remembering* the details.
The chair is *in the corner of* the room.
He is being *greedy*.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
The *cat* is purring softly.
The *tree* is swaying in the wind.
She is *writing* a letter.
He is *drawing* a picture.
He is *listening* intently.
She is feeling *weak*.
He is very *flexible*.
She is *permitting* the request.
He is *encouraging* his team.
She is *fatigued* after the workout.",ANCP,,grounded_gesture
44,00000046,P0087_v3.5.fam_ANCM_XXXX,Think of a time when you felt disrespected by your partner. Describe the situation and how it made you feel. Explain why you think their behavior was disrespectful.,"Your partner will tell you about a time they felt disrespected by you. Listen to their perspective and discuss the situation, acknowledging their feelings and explaining your intentions.",ANCM,,ipc_conversation
45,00000047,P0002_v3.5.aac_ANCP_XXXX-170,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
The *bird* is singing in the tree.
He is sitting on the *chair*.
He is *singing* a song.
She is *running* in the race.
They are exchanging *greetings*.
The atmosphere is *tense*.
She is remaining *calm*.
He is *rejecting* the proposal.
He is *considering* his options.
He is playfully *teasing* his friend.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
The *bird* is singing in the tree.
He is sitting on the *chair*.
He is *singing* a song.
She is *running* in the race.
They are exchanging *greetings*.
The atmosphere is *tense*.
She is remaining *calm*.
He is *rejecting* the proposal.
He is *considering* his options.
He is playfully *teasing* his friend.",ANCP,,grounded_gesture
46,00000048,P0084_v3.5.fam_ANCP_XXXX,Discuss a cause or organization that you're passionate about supporting. Explain to your partner why this cause is important to you and how you like to contribute to it.,Your partner will tell you about a cause they care about. Ask them about their involvement and what they think is the most effective way to make a positive impact.,ANCP,,ipc_conversation
47,00000049,P0088_v3.5.fam_AMCM_XXXX,Your partner will tell you about a time they felt overwhelmed. Ask them follow-up questions to understand their thought process and how they felt during that time.,Think of a time when you felt overwhelmed by a situation and needed some space. Describe to your partner what was happening and how you handled it. Explain why you felt the need to withdraw from the situation.,AMCM,,ipc_conversation
48,00000050,P0003_v3.5.aac_ANCP_XXXX,"You're going to play a game with your partner. Together you will take turns weaving a fictional tale. It can be about whatever you like. 

The rule is that you have to build the story together, alternating every sentence or two.

For example, a story might look like the following:

You: Last week, I went camping...
Partner: ...around midnight, I heard a loud ban and it jolted me awake...
You: ...I grabbed my flashlight and cautiously unzipped the tent...

The story can be about whatever you want! The point is to try to make it as interesting and fun as you can, creating it collaboratively. Be as expressive as you can with your voice and in your gestures.

Whenever you're ready, begin with the four words, ""Last week...","You're going to play a game with your partner. Together you will take turns weaving a fictional tale. It can be about whatever you like. 

The rule is that you have to build the story together, alternating every sentence or two.

For example, a story might look like the following:

You: Last week, I went camping...
Partner: ...around midnight, I heard a loud ban and it jolted me awake...
You: ...I grabbed my flashlight and cautiously unzipped the tent...

The story can be about whatever you want! The point is to try to make it as interesting and fun as you can, creating it collaboratively. Be as expressive as you can with your voice and in your gestures.

Your partner will begin with the words ""Last week...",ANCP,,collaborative_storytelling
49,00000051,P0093_v3.5.fam_APCM_XXXX,Your partner will tell you about a time they found a creative solution to a problem. Ask them follow-up questions to understand their thought process and discuss whether you would have approached the problem similarly.,Describe a situation where you found a creative solution to a problem that had been stumping you. Explain how you came up with the solution and what made it effective.,APCM,,ipc_conversation
50,00000052,P0095_v3.5.fam_AMCM_XXXX,Tell your partner about a policy or decision made by a local or national authority that you think is impersonal or unfair. Explain why you think it's problematic and how you think it affects people in general.,Your partner will tell you about a policy or decision that they think is impersonal or unfair. Listen to their perspective and discuss potential alternatives or solutions.,AMCM,,ipc_conversation
51,00000053,P0089_v3.5.fam_APCP_XXXX,Share a fond memory of a time when you and your partner did something spontaneous and fun together. Describe the event and what made it so enjoyable.,Your partner will share a happy memory with you. Listen to their story and discuss what made it special.,APCP,,ipc_conversation
52,00000054,P0009_v3.0.str_APCN_XXXX,"Your partner will tell you about a time they took charge of a situation. Ask them questions to clarify their role and the outcome, and discuss the qualities that made them effective leaders.","Tell your partner about a time when you took charge of a situation and led others to achieve a common goal. What was the situation, and how did you assert your leadership?",APCN,,ipc_conversation
53,00000056,P0008_v3.0.str_APCP_XXXX,"Share with your partner a time when you received some unexpectedly good news. How did you react, and what did you do to celebrate?",Your partner will tell you about a time they received good news. Ask them follow-up questions to keep the conversation light and enthusiastic.,APCP,,ipc_conversation
54,00000057,P0000_v3.0.str_AMCN_XXXX,"Your partner will talk about a task they've been procrastinating on. Share a time when you faced a similar challenge and how you overcame it, and offer advice on how they might get started.","Discuss a task or project that you've been putting off for a while. What's holding you back from tackling it, and what strategies do you think might help you regain momentum?",AMCN,,ipc_conversation
55,00000058,P0002_v3.0aac_ANCP_XXXX-129,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The gift is *inside* the box.
The road is *curved*.
The ant is *tiny*.
There are few apples *left*.
There are *3* cars.
The lemon is *sour*.
The school is *close* to the library.
He is *lifting* the weights.
She is *throwing* the ball.
He is *lost* in nostalgia.
","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
She sat *beside* her friend.
Walk *straight* ahead.
The shirt is *medium*-sized.
The shelf is *out of reach*.
She has *2* dogs.
The coffee is *bitter*.
The road is *at the end of* the street.
He is *pushing* the cart.
She is *pulling* the rope.
She is *smiling* with contentment.",ANCP,,grounded_gesture
56,00000059,P0001_v3.0.str_ANCM_XXXX,Describe a topic or issue that you feel is often overemphasized or overdebated in society. Explain why you think it's not as important as others make it out to be.,Your partner will express a view on a topic that they think is overhyped. Listen to their perspective and discuss why you agree or disagree.,ANCM,,ipc_conversation
57,00000061,P0007_v3.0.str_AMCM_XXXX,Your partner will share a time when they felt the need to withdraw from social interactions. Ask them questions to understand their perspective and share a time when you may have felt similarly.,"Describe a time when you felt the need to withdraw from social interactions or situations. What led you to feel that way, and how did you cope with the desire for solitude?",AMCM,,ipc_conversation
